"transportation_type","date","direction_requests","consumption","sales_MM_dollars"
"driving",2021-07-01,190.80804017042,"alcoholic_beverage_sales",6162
"driving",2021-07-01,190.80804017042,"electronics_sales",6089
"driving",2021-07-01,190.80804017042,"grocery_sales",67187
"driving",2021-07-01,190.80804017042,"toy_store_sales",1776
"driving",2021-07-01,190.80804017042,"restaurant_spend",72885
"driving",2021-07-01,190.80804017042,"sporting_good_sales",5721
"driving",2021-08-01,178.724443091905,"auto_parts_tires_sales",9829
"driving",2021-08-01,178.724443091905,"alcoholic_beverage_sales",5701
"driving",2021-08-01,178.724443091905,"electronics_sales",6057
"driving",2021-08-01,178.724443091905,"grocery_sales",66583
"driving",2021-08-01,178.724443091905,"toy_store_sales",1807
"driving",2021-08-01,178.724443091905,"restaurant_spend",69588
"driving",2021-08-01,178.724443091905,"sporting_good_sales",5752
"driving",2021-09-01,169.791981132075,"auto_parts_tires_sales",9432
"driving",2021-09-01,169.791981132075,"alcoholic_beverage_sales",5572
"driving",2021-09-01,169.791981132075,"electronics_sales",5763
"driving",2021-09-01,169.791981132075,"grocery_sales",65263
"driving",2021-09-01,169.791981132075,"toy_store_sales",1900
"driving",2021-09-01,169.791981132075,"restaurant_spend",65722
"driving",2021-09-01,169.791981132075,"sporting_good_sales",4973
"driving",2021-10-01,170.008861838101,"auto_parts_tires_sales",9844
"driving",2021-10-01,170.008861838101,"alcoholic_beverage_sales",5761
"driving",2021-10-01,170.008861838101,"electronics_sales",6127
"driving",2021-10-01,170.008861838101,"grocery_sales",67795
"driving",2021-10-01,170.008861838101,"toy_store_sales",2031
"driving",2021-10-01,170.008861838101,"restaurant_spend",69027
"driving",2021-10-01,170.008861838101,"sporting_good_sales",5011
"driving",2021-11-01,156.026333333333,"auto_parts_tires_sales",9437
"driving",2021-11-01,156.026333333333,"alcoholic_beverage_sales",6021
"driving",2021-11-01,156.026333333333,"electronics_sales",7106
"driving",2021-11-01,156.026333333333,"grocery_sales",67280
"driving",2021-11-01,156.026333333333,"toy_store_sales",2850
"driving",2021-11-01,156.026333333333,"restaurant_spend",64830
"driving",2021-11-01,156.026333333333,"sporting_good_sales",5624
"driving",2021-12-01,158.274601339014,"auto_parts_tires_sales",9565
"driving",2021-12-01,158.274601339014,"alcoholic_beverage_sales",7701
"driving",2021-12-01,158.274601339014,"electronics_sales",8699
"driving",2021-12-01,158.274601339014,"grocery_sales",71845
"driving",2021-12-01,158.274601339014,"toy_store_sales",3133
"driving",2021-12-01,158.274601339014,"restaurant_spend",69543
"driving",2021-12-01,158.274601339014,"sporting_good_sales",7535
"driving",2022-01-01,140.881905051735,"auto_parts_tires_sales",9047
"driving",2022-01-01,140.881905051735,"alcoholic_beverage_sales",4939
"driving",2022-01-01,140.881905051735,"electronics_sales",5171
"driving",2022-01-01,140.881905051735,"grocery_sales",68099
"driving",2022-01-01,140.881905051735,"toy_store_sales",1626
"driving",2022-01-01,140.881905051735,"restaurant_spend",62002
"driving",2022-01-01,140.881905051735,"sporting_good_sales",4071
"driving",2022-02-01,158.565667115903,"auto_parts_tires_sales",8880
"driving",2022-02-01,158.565667115903,"alcoholic_beverage_sales",5054
"driving",2022-02-01,158.565667115903,"electronics_sales",4740
"driving",2022-02-01,158.565667115903,"grocery_sales",62607
"driving",2022-02-01,158.565667115903,"toy_store_sales",1671
"driving",2022-02-01,158.565667115903,"restaurant_spend",63715
"driving",2022-02-01,158.565667115903,"sporting_good_sales",4166
"transit",2020-01-01,98.7550428396573,"auto_parts_tires_sales",7525
"transit",2020-01-01,98.7550428396573,"alcoholic_beverage_sales",4178
"transit",2020-01-01,98.7550428396573,"electronics_sales",5823
"transit",2020-01-01,98.7550428396573,"grocery_sales",58230
"transit",2020-01-01,98.7550428396573,"toy_store_sales",1160
"transit",2020-01-01,98.7550428396573,"restaurant_spend",54773
"transit",2020-01-01,98.7550428396573,"sporting_good_sales",2946
"transit",2020-02-01,102.86218925421,"auto_parts_tires_sales",7229
"transit",2020-02-01,102.86218925421,"alcoholic_beverage_sales",4301
"transit",2020-02-01,102.86218925421,"electronics_sales",5419
"transit",2020-02-01,102.86218925421,"grocery_sales",55239
"transit",2020-02-01,102.86218925421,"toy_store_sales",1185
"transit",2020-02-01,102.86218925421,"restaurant_spend",55733
"transit",2020-02-01,102.86218925421,"sporting_good_sales",3054
"transit",2020-03-01,72.0340060015004,"auto_parts_tires_sales",7470
"transit",2020-03-01,72.0340060015004,"alcoholic_beverage_sales",5224
"transit",2020-03-01,72.0340060015004,"electronics_sales",4495
"transit",2020-03-01,72.0340060015004,"grocery_sales",73003
"transit",2020-03-01,72.0340060015004,"toy_store_sales",850
"transit",2020-03-01,72.0340060015004,"restaurant_spend",42948
"transit",2020-03-01,72.0340060015004,"sporting_good_sales",3399
"transit",2020-04-01,42.4766356589147,"auto_parts_tires_sales",6966
"transit",2020-04-01,42.4766356589147,"alcoholic_beverage_sales",4905
"transit",2020-04-01,42.4766356589147,"electronics_sales",1888
"transit",2020-04-01,42.4766356589147,"grocery_sales",63454
"transit",2020-04-01,42.4766356589147,"toy_store_sales",354
"transit",2020-04-01,42.4766356589147,"restaurant_spend",28161
"transit",2020-04-01,42.4766356589147,"sporting_good_sales",2565
"transit",2020-05-01,55.1439459864966,"auto_parts_tires_sales",8492
"transit",2020-05-01,55.1439459864966,"alcoholic_beverage_sales",5909
"transit",2020-05-01,55.1439459864966,"electronics_sales",2480
"transit",2020-05-01,55.1439459864966,"grocery_sales",67331
"transit",2020-05-01,55.1439459864966,"toy_store_sales",1100
"transit",2020-05-01,55.1439459864966,"restaurant_spend",40687
"transit",2020-05-01,55.1439459864966,"sporting_good_sales",4307
"transit",2020-06-01,72.325496124031,"auto_parts_tires_sales",9263
"transit",2020-06-01,72.325496124031,"alcoholic_beverage_sales",5734
"transit",2020-06-01,72.325496124031,"electronics_sales",3912
"transit",2020-06-01,72.325496124031,"grocery_sales",62806
"transit",2020-06-01,72.325496124031,"toy_store_sales",1395
"transit",2020-06-01,72.325496124031,"restaurant_spend",49679
"transit",2020-06-01,72.325496124031,"sporting_good_sales",5779
"transit",2020-07-01,77.0857014253563,"auto_parts_tires_sales",9122
"transit",2020-07-01,77.0857014253563,"alcoholic_beverage_sales",6055
"transit",2020-07-01,77.0857014253563,"electronics_sales",4761
"transit",2020-07-01,77.0857014253563,"grocery_sales",65575
"transit",2020-07-01,77.0857014253563,"toy_store_sales",1383
"transit",2020-07-01,77.0857014253563,"restaurant_spend",52664
"transit",2020-07-01,77.0857014253563,"sporting_good_sales",5335
"transit",2020-08-01,77.5239234808702,"auto_parts_tires_sales",8940
"transit",2020-08-01,77.5239234808702,"alcoholic_beverage_sales",5759
"transit",2020-08-01,77.5239234808702,"electronics_sales",5035
"transit",2020-08-01,77.5239234808702,"grocery_sales",63141
"transit",2020-08-01,77.5239234808702,"toy_store_sales",1479
"transit",2020-08-01,77.5239234808702,"restaurant_spend",54107
"transit",2020-08-01,77.5239234808702,"sporting_good_sales",5047
"transit",2020-09-01,78.0693720930233,"auto_parts_tires_sales",8572
"transit",2020-09-01,78.0693720930233,"alcoholic_beverage_sales",5527
"transit",2020-09-01,78.0693720930233,"electronics_sales",4737
"transit",2020-09-01,78.0693720930233,"grocery_sales",60565
"transit",2020-09-01,78.0693720930233,"toy_store_sales",1551
"transit",2020-09-01,78.0693720930233,"restaurant_spend",52069
"transit",2020-09-01,78.0693720930233,"sporting_good_sales",4699
"transit",2020-10-01,73.0785896474119,"auto_parts_tires_sales",8688
"transit",2020-10-01,73.0785896474119,"alcoholic_beverage_sales",5704
"transit",2020-10-01,73.0785896474119,"electronics_sales",5082
"transit",2020-10-01,73.0785896474119,"grocery_sales",62506
"transit",2020-10-01,73.0785896474119,"toy_store_sales",1641
"transit",2020-10-01,73.0785896474119,"restaurant_spend",54596
"transit",2020-10-01,73.0785896474119,"sporting_good_sales",4581
"transit",2020-11-01,61.1456821705426,"auto_parts_tires_sales",7877
"transit",2020-11-01,61.1456821705426,"alcoholic_beverage_sales",5732
"transit",2020-11-01,61.1456821705426,"electronics_sales",6514
"transit",2020-11-01,61.1456821705426,"grocery_sales",62454
"transit",2020-11-01,61.1456821705426,"toy_store_sales",2365
"transit",2020-11-01,61.1456821705426,"restaurant_spend",48612
"transit",2020-11-01,61.1456821705426,"sporting_good_sales",4527
"transit",2020-12-01,55.89048012003,"auto_parts_tires_sales",7839
"transit",2020-12-01,55.89048012003,"alcoholic_beverage_sales",7282
"transit",2020-12-01,55.89048012003,"electronics_sales",7630
"transit",2020-12-01,55.89048012003,"grocery_sales",65444
"transit",2020-12-01,55.89048012003,"toy_store_sales",2564
"transit",2020-12-01,55.89048012003,"restaurant_spend",49609
"transit",2020-12-01,55.89048012003,"sporting_good_sales",6661
"transit",2021-01-01,57.0882370592648,"auto_parts_tires_sales",7686
"transit",2021-01-01,57.0882370592648,"alcoholic_beverage_sales",5031
"transit",2021-01-01,57.0882370592648,"electronics_sales",5237
"transit",2021-01-01,57.0882370592648,"grocery_sales",63171
"transit",2021-01-01,57.0882370592648,"toy_store_sales",1613
"transit",2021-01-01,57.0882370592648,"restaurant_spend",50741
"transit",2021-01-01,57.0882370592648,"sporting_good_sales",4060
"transit",2021-02-01,59.7541528239203,"auto_parts_tires_sales",7489
"transit",2021-02-01,59.7541528239203,"alcoholic_beverage_sales",4910
"transit",2021-02-01,59.7541528239203,"electronics_sales",4651
"transit",2021-02-01,59.7541528239203,"grocery_sales",57543
"transit",2021-02-01,59.7541528239203,"toy_store_sales",1416
"transit",2021-02-01,59.7541528239203,"restaurant_spend",48074
"transit",2021-02-01,59.7541528239203,"sporting_good_sales",3754
"transit",2021-03-01,69.8883798449612,"auto_parts_tires_sales",10168
"transit",2021-03-01,69.8883798449612,"alcoholic_beverage_sales",5658
"transit",2021-03-01,69.8883798449612,"electronics_sales",5945
"transit",2021-03-01,69.8883798449612,"grocery_sales",63134
"transit",2021-03-01,69.8883798449612,"toy_store_sales",1941
"transit",2021-03-01,69.8883798449612,"restaurant_spend",62126
"transit",2021-03-01,69.8883798449612,"sporting_good_sales",6035
"transit",2021-04-01,75.0412945736434,"auto_parts_tires_sales",9838
"transit",2021-04-01,75.0412945736434,"alcoholic_beverage_sales",5645
"transit",2021-04-01,75.0412945736434,"electronics_sales",5517
"transit",2021-04-01,75.0412945736434,"grocery_sales",62163
"transit",2021-04-01,75.0412945736434,"toy_store_sales",1742
"transit",2021-04-01,75.0412945736434,"restaurant_spend",64024
"transit",2021-04-01,75.0412945736434,"sporting_good_sales",5760
"transit",2021-05-01,81.5905101275319,"auto_parts_tires_sales",9420
"transit",2021-05-01,81.5905101275319,"alcoholic_beverage_sales",6016
"transit",2021-05-01,81.5905101275319,"electronics_sales",5747
"transit",2021-05-01,81.5905101275319,"grocery_sales",66336
"transit",2021-05-01,81.5905101275319,"toy_store_sales",1733
"transit",2021-05-01,81.5905101275319,"restaurant_spend",69154
"transit",2021-05-01,81.5905101275319,"sporting_good_sales",5586
"transit",2021-06-01,95.9060387596899,"auto_parts_tires_sales",9673
"transit",2021-06-01,95.9060387596899,"alcoholic_beverage_sales",5986
"transit",2021-06-01,95.9060387596899,"electronics_sales",6002
"transit",2021-06-01,95.9060387596899,"grocery_sales",64865
"transit",2021-06-01,95.9060387596899,"toy_store_sales",1699
"transit",2021-06-01,95.9060387596899,"restaurant_spend",69163
"transit",2021-06-01,95.9060387596899,"sporting_good_sales",5912
"transit",2021-07-01,101.103855963991,"auto_parts_tires_sales",9704
"transit",2021-07-01,101.103855963991,"alcoholic_beverage_sales",6162
"transit",2021-07-01,101.103855963991,"electronics_sales",6089
"transit",2021-07-01,101.103855963991,"grocery_sales",67187
"transit",2021-07-01,101.103855963991,"toy_store_sales",1776
"transit",2021-07-01,101.103855963991,"restaurant_spend",72885
"transit",2021-07-01,101.103855963991,"sporting_good_sales",5721
"transit",2021-08-01,103.794621155289,"auto_parts_tires_sales",9829
"transit",2021-08-01,103.794621155289,"alcoholic_beverage_sales",5701
"transit",2021-08-01,103.794621155289,"electronics_sales",6057
"transit",2021-08-01,103.794621155289,"grocery_sales",66583
"transit",2021-08-01,103.794621155289,"toy_store_sales",1807
"transit",2021-08-01,103.794621155289,"restaurant_spend",69588
"transit",2021-08-01,103.794621155289,"sporting_good_sales",5752
"transit",2021-09-01,108.598945736434,"auto_parts_tires_sales",9432
"transit",2021-09-01,108.598945736434,"alcoholic_beverage_sales",5572
"transit",2021-09-01,108.598945736434,"electronics_sales",5763
"transit",2021-09-01,108.598945736434,"grocery_sales",65263
"transit",2021-09-01,108.598945736434,"toy_store_sales",1900
"transit",2021-09-01,108.598945736434,"restaurant_spend",65722
"transit",2021-09-01,108.598945736434,"sporting_good_sales",4973
"transit",2021-10-01,107.380577644411,"auto_parts_tires_sales",9844
"transit",2021-10-01,107.380577644411,"alcoholic_beverage_sales",5761
"transit",2021-10-01,107.380577644411,"electronics_sales",6127
"transit",2021-10-01,107.380577644411,"grocery_sales",67795
"transit",2021-10-01,107.380577644411,"toy_store_sales",2031
"transit",2021-10-01,107.380577644411,"restaurant_spend",69027
"transit",2021-10-01,107.380577644411,"sporting_good_sales",5011
"transit",2021-11-01,100.620387596899,"auto_parts_tires_sales",9437
"transit",2021-11-01,100.620387596899,"alcoholic_beverage_sales",6021
"transit",2021-11-01,100.620387596899,"electronics_sales",7106
"transit",2021-11-01,100.620387596899,"grocery_sales",67280
"transit",2021-11-01,100.620387596899,"toy_store_sales",2850
"transit",2021-11-01,100.620387596899,"restaurant_spend",64830
"transit",2021-11-01,100.620387596899,"sporting_good_sales",5624
"transit",2021-12-01,97.4629107276819,"auto_parts_tires_sales",9565
"transit",2021-12-01,97.4629107276819,"alcoholic_beverage_sales",7701
"transit",2021-12-01,97.4629107276819,"electronics_sales",8699
"transit",2021-12-01,97.4629107276819,"grocery_sales",71845
"transit",2021-12-01,97.4629107276819,"toy_store_sales",3133
"transit",2021-12-01,97.4629107276819,"restaurant_spend",69543
"transit",2021-12-01,97.4629107276819,"sporting_good_sales",7535
"transit",2022-01-01,92.3452063015754,"auto_parts_tires_sales",9047
"transit",2022-01-01,92.3452063015754,"alcoholic_beverage_sales",4939
"transit",2022-01-01,92.3452063015754,"electronics_sales",5171
"transit",2022-01-01,92.3452063015754,"grocery_sales",68099
"transit",2022-01-01,92.3452063015754,"toy_store_sales",1626
"transit",2022-01-01,92.3452063015754,"restaurant_spend",62002
"transit",2022-01-01,92.3452063015754,"sporting_good_sales",4071
"transit",2022-02-01,106.801196013289,"auto_parts_tires_sales",8880
"transit",2022-02-01,106.801196013289,"alcoholic_beverage_sales",5054
"transit",2022-02-01,106.801196013289,"electronics_sales",4740
"transit",2022-02-01,106.801196013289,"grocery_sales",62607
"transit",2022-02-01,106.801196013289,"toy_store_sales",1671
"transit",2022-02-01,106.801196013289,"restaurant_spend",63715
"transit",2022-02-01,106.801196013289,"sporting_good_sales",4166
"walking",2020-01-01,107.181424148607,"auto_parts_tires_sales",7525
"walking",2020-01-01,107.181424148607,"alcoholic_beverage_sales",4178
"walking",2020-01-01,107.181424148607,"electronics_sales",5823
"walking",2020-01-01,107.181424148607,"grocery_sales",58230
"walking",2020-01-01,107.181424148607,"toy_store_sales",1160
"walking",2020-01-01,107.181424148607,"restaurant_spend",54773
"walking",2020-01-01,107.181424148607,"sporting_good_sales",2946
"walking",2020-02-01,117.221933739013,"auto_parts_tires_sales",7229
"walking",2020-02-01,117.221933739013,"alcoholic_beverage_sales",4301
"walking",2020-02-01,117.221933739013,"electronics_sales",5419
"walking",2020-02-01,117.221933739013,"grocery_sales",55239
"walking",2020-02-01,117.221933739013,"toy_store_sales",1185
"walking",2020-02-01,117.221933739013,"restaurant_spend",55733
"walking",2020-02-01,117.221933739013,"sporting_good_sales",3054
"walking",2020-03-01,86.6498102466793,"auto_parts_tires_sales",7470
"walking",2020-03-01,86.6498102466793,"alcoholic_beverage_sales",5224
"walking",2020-03-01,86.6498102466793,"electronics_sales",4495
"walking",2020-03-01,86.6498102466793,"grocery_sales",73003
"walking",2020-03-01,86.6498102466793,"toy_store_sales",850
"walking",2020-03-01,86.6498102466793,"restaurant_spend",42948
"walking",2020-03-01,86.6498102466793,"sporting_good_sales",3399
"walking",2020-04-01,63.6931241830065,"auto_parts_tires_sales",6966
"walking",2020-04-01,63.6931241830065,"alcoholic_beverage_sales",4905
"walking",2020-04-01,63.6931241830065,"electronics_sales",1888
"walking",2020-04-01,63.6931241830065,"grocery_sales",63454
"walking",2020-04-01,63.6931241830065,"toy_store_sales",354
"walking",2020-04-01,63.6931241830065,"restaurant_spend",28161
"walking",2020-04-01,63.6931241830065,"sporting_good_sales",2565
"walking",2020-05-01,103.310202403542,"auto_parts_tires_sales",8492
"walking",2020-05-01,103.310202403542,"alcoholic_beverage_sales",5909
"walking",2020-05-01,103.310202403542,"electronics_sales",2480
"walking",2020-05-01,103.310202403542,"grocery_sales",67331
"walking",2020-05-01,103.310202403542,"toy_store_sales",1100
"walking",2020-05-01,103.310202403542,"restaurant_spend",40687
"walking",2020-05-01,103.310202403542,"sporting_good_sales",4307
"walking",2020-06-01,147.390614379085,"auto_parts_tires_sales",9263
"walking",2020-06-01,147.390614379085,"alcoholic_beverage_sales",5734
"walking",2020-06-01,147.390614379085,"electronics_sales",3912
"walking",2020-06-01,147.390614379085,"grocery_sales",62806
"walking",2020-06-01,147.390614379085,"toy_store_sales",1395
"walking",2020-06-01,147.390614379085,"restaurant_spend",49679
"walking",2020-06-01,147.390614379085,"sporting_good_sales",5779
"walking",2020-07-01,166.188108791904,"auto_parts_tires_sales",9122
"walking",2020-07-01,166.188108791904,"alcoholic_beverage_sales",6055
"walking",2020-07-01,166.188108791904,"electronics_sales",4761
"walking",2020-07-01,166.188108791904,"grocery_sales",65575
"walking",2020-07-01,166.188108791904,"toy_store_sales",1383
"walking",2020-07-01,166.188108791904,"restaurant_spend",52664
"walking",2020-07-01,166.188108791904,"sporting_good_sales",5335
"walking",2020-08-01,181.04156230234,"auto_parts_tires_sales",8940
"walking",2020-08-01,181.04156230234,"alcoholic_beverage_sales",5759
"walking",2020-08-01,181.04156230234,"electronics_sales",5035
"walking",2020-08-01,181.04156230234,"grocery_sales",63141
"walking",2020-08-01,181.04156230234,"toy_store_sales",1479
"walking",2020-08-01,181.04156230234,"restaurant_spend",54107
"walking",2020-08-01,181.04156230234,"sporting_good_sales",5047
"walking",2020-09-01,169.222745098039,"auto_parts_tires_sales",8572
"walking",2020-09-01,169.222745098039,"alcoholic_beverage_sales",5527
"walking",2020-09-01,169.222745098039,"electronics_sales",4737
"walking",2020-09-01,169.222745098039,"grocery_sales",60565
"walking",2020-09-01,169.222745098039,"toy_store_sales",1551
"walking",2020-09-01,169.222745098039,"restaurant_spend",52069
"walking",2020-09-01,169.222745098039,"sporting_good_sales",4699
"walking",2020-10-01,155.145117014548,"auto_parts_tires_sales",8688
"walking",2020-10-01,155.145117014548,"alcoholic_beverage_sales",5704
"walking",2020-10-01,155.145117014548,"electronics_sales",5082
"walking",2020-10-01,155.145117014548,"grocery_sales",62506
"walking",2020-10-01,155.145117014548,"toy_store_sales",1641
"walking",2020-10-01,155.145117014548,"restaurant_spend",54596
"walking",2020-10-01,155.145117014548,"sporting_good_sales",4581
"walking",2020-11-01,125.079464052288,"auto_parts_tires_sales",7877
"walking",2020-11-01,125.079464052288,"alcoholic_beverage_sales",5732
"walking",2020-11-01,125.079464052288,"electronics_sales",6514
"walking",2020-11-01,125.079464052288,"grocery_sales",62454
"walking",2020-11-01,125.079464052288,"toy_store_sales",2365
"walking",2020-11-01,125.079464052288,"restaurant_spend",48612
"walking",2020-11-01,125.079464052288,"sporting_good_sales",4527
"walking",2020-12-01,126.839690069576,"auto_parts_tires_sales",7839
